Type; Number; Time
naive;0;8447349363
naive;1;1003541528
naive;2;3184869721
naive;3;4166761504
naive;4;682099922
naive;5;906819976
naive;6;12239398134
naive;7;2861231414
naive;8;2817861892
naive;9;3439289159
naive;10;4603818945
naive;11;6579073534
naive;12;8823226104
naive;13;10515153372
naive;14;13130143282
naive;15;16979094966
naive;16;20363691194
naive;17;25119961844
naive;18;30684563173
naive;19;34349897590
naive;20;33502896886
naive;21;34677359069
naive;22;30220594712
naive;23;29793213381
naive;24;29341114712
straightforward;0;2103919316
straightforward;1;1566580383
straightforward;2;482101733
straightforward;3;2305707890
straightforward;4;5357916138
straightforward;5;1342947962
straightforward;6;3661574338
straightforward;7;2490142618
straightforward;8;1846112304
straightforward;9;17857469824
straightforward;10;5822361249
straightforward;11;6844556169
straightforward;12;29732288967
straightforward;13;19106791902
straightforward;14;98530912445
straightforward;15;84048387491
straightforward;16;106707335266
straightforward;17;103323508503
straightforward;18;42607117468
straightforward;19;159997628215
straightforward;20;29292444973
straightforward;21;159019383613
straightforward;22;80181542219
straightforward;23;66105801771
straightforward;24;184653094836
earlyProjection;0;2741937305
earlyProjection;1;1557855462
earlyProjection;2;486331521
earlyProjection;3;2358259061
earlyProjection;4;5447470715
earlyProjection;5;1407609817
earlyProjection;6;2393936357
earlyProjection;7;2471687252
earlyProjection;8;1898486277
earlyProjection;9;17870984199
earlyProjection;10;5784140103
earlyProjection;11;6666966624
earlyProjection;12;29688378193
earlyProjection;13;19072529466
earlyProjection;14;98249897440
earlyProjection;15;85199873215
earlyProjection;16;94136558301
earlyProjection;17;87702587470
earlyProjection;18;43056557274
earlyProjection;19;160183152388
earlyProjection;20;31397223711
earlyProjection;21;224643731463
earlyProjection;22;110627588111
earlyProjection;23;95992403768
earlyProjection;24;201985888227
reordering;0;4983555
reordering;1;5478874149
reordering;2;2358573307
reordering;3;3226305772
reordering;4;5900062034
reordering;5;899348717
reordering;6;2974934004
reordering;7;1841039395
reordering;8;1668208513
reordering;9;18429075118
reordering;10;4723163769
reordering;11;4821030611
reordering;12;10769140232
reordering;13;16578645483
reordering;14;61914219087
reordering;15;46411508153
reordering;16;59387994367
reordering;17;54213946047
reordering;18;56620963898
reordering;19;242782821539
reordering;20;38610290111
reordering;21;170638953481
reordering;22;36877341258
reordering;23;157961635164
reordering;24;91652478118
