Type; Number; Time
naive;0;177471213
naive;1;196037064
naive;2;244430290
naive;3;291040678
naive;4;343081690
naive;5;391999263
naive;6;471321990
naive;7;516596608
naive;8;606763376
naive;9;981457091
naive;10;824108769
naive;11;7740544783
naive;12;1190681001
naive;13;1313008291
naive;14;6455161432
naive;15;36741354094
naive;16;85121348026
naive;17;176159066862
straightforward;0;470574865
straightforward;1;270848962
straightforward;2;402166816
straightforward;3;636211906
straightforward;4;357095959
straightforward;5;320590336
straightforward;6;259022035
straightforward;7;552788893
straightforward;8;1237638238
straightforward;9;455215165
straightforward;10;1822404115
straightforward;11;5635666429
straightforward;12;2100135992
straightforward;13;5252939977
straightforward;14;48084832742
straightforward;15;52668143309
straightforward;16;134874386866
straightforward;17;91542467085
earlyProjection;0;454437249
earlyProjection;1;255913086
earlyProjection;2;411308316
earlyProjection;3;642978602
earlyProjection;4;365403093
earlyProjection;5;323926893
earlyProjection;6;278830077
earlyProjection;7;554085118
earlyProjection;8;1260203248
earlyProjection;9;442517648
earlyProjection;10;1878344067
earlyProjection;11;5763074777
earlyProjection;12;2162469832
earlyProjection;13;5408587570
earlyProjection;14;48339484619
earlyProjection;15;52686990502
earlyProjection;16;136321740757
earlyProjection;17;90825498876
reordering;0;398297459
reordering;1;127450309
reordering;2;2661311107
reordering;3;259653243
reordering;4;370965634
reordering;5;201363844
reordering;6;324448825
reordering;7;808987848
reordering;8;1334041317
reordering;9;1525065543
reordering;10;770924278
reordering;11;23526976676
reordering;12;2842352224
reordering;13;2889961497
reordering;14;36224497275
reordering;15;66001598094
reordering;16;32154020819
reordering;17;38691677320
