Type; Number; Time
naive;0;93972733
naive;1;106693795
naive;2;552021843
naive;3;376728615
naive;4;503262148
naive;5;1368875191
naive;6;2010970524
naive;7;2094162608
naive;8;2236654747
naive;9;3574796050
naive;10;6797266878
naive;11;6305265049
naive;12;7901056391
naive;13;10659998581
naive;14;13229915522
naive;15;16970961709
naive;16;19969786232
naive;17;24481162619
straightforward;0;129906315
straightforward;1;46898371
straightforward;2;1309633697
straightforward;3;153648313
straightforward;4;3186223000
straightforward;5;1743778404
straightforward;6;680153470
straightforward;7;1646368591
straightforward;8;4195479209
straightforward;9;5467310453
straightforward;10;17741102335
straightforward;11;10297335553
straightforward;12;11142679601
straightforward;13;33531777299
straightforward;14;13677464421
straightforward;15;23189031589
straightforward;16;58158410599
straightforward;17;1.20E+11
earlyProjection;0;133081977
earlyProjection;1;49535197
earlyProjection;2;1313621689
earlyProjection;3;159850213
earlyProjection;4;3098313307
earlyProjection;5;1726452934
earlyProjection;6;694443648
earlyProjection;7;1620763155
earlyProjection;8;4193726860
earlyProjection;9;6106296233
earlyProjection;10;18396753097
earlyProjection;11;10891504953
earlyProjection;12;11583104391
earlyProjection;13;33928464588
earlyProjection;14;13761360161
earlyProjection;15;23226025034
earlyProjection;16;57091325341
earlyProjection;17;1.20E+11
reordering;0;131171448
reordering;1;65207331
reordering;2;298467864
reordering;3;197300084
reordering;4;568676259
reordering;5;874360604
reordering;6;904582221
reordering;7;1566475332
reordering;8;5003719630
reordering;9;2915494182
reordering;10;6951795744
reordering;11;10633029301
reordering;12;9633372224
reordering;13;23639704531
reordering;14;10767708165
reordering;15;20254049347
reordering;16;44259419597
reordering;17;67865589799
