Type; Number; Time
naive;0;491460578
naive;1;820865187
naive;2;1373861464
naive;3;2264836032
naive;4;2485995843
naive;5;3062824075
naive;6;3599640776
naive;7;4192974602
naive;8;4750865987
naive;9;6198312251
naive;10;6312453758
naive;11;7712894788
naive;12;7888449132
naive;13;9152923526
naive;14;25541438315
naive;15;19552436007
naive;16;11932311909
naive;17;44152990843
straightforward;0;3616309983
straightforward;1;13256611913
straightforward;2;5529851375
straightforward;3;9838145075
straightforward;4;29068231757
straightforward;5;6205780188
straightforward;6;5353558357
straightforward;7;12563939029
straightforward;8;8971722419
straightforward;9;10411998087
straightforward;10;21004612861
straightforward;11;11084099201
straightforward;12;23922502675
straightforward;13;47568625243
straightforward;14;69351895361
straightforward;15;20665993700
straightforward;16;19170019577
straightforward;17;17088571993
earlyProjection;0;3791234327
earlyProjection;1;13688462113
earlyProjection;2;5680908445
earlyProjection;3;9867771105
earlyProjection;4;29544749819
earlyProjection;5;6195362688
earlyProjection;6;5412348556
earlyProjection;7;12329674479
earlyProjection;8;8963064514
earlyProjection;9;10692297661
earlyProjection;10;21278406856
earlyProjection;11;11582325871
earlyProjection;12;24811640371
earlyProjection;13;46388108775
earlyProjection;14;69482377339
earlyProjection;15;20957696076
earlyProjection;16;18791553403
earlyProjection;17;17118558455
reordering;0;1295003313
reordering;1;9995835113
reordering;2;12011776213
reordering;3;7739058078
reordering;4;8357188634
reordering;5;4946475604
reordering;6;7470336690
reordering;7;7593270736
reordering;8;13036551508
reordering;9;10348070378
reordering;10;21770130664
reordering;11;14647196618
reordering;12;21880995685
reordering;13;41445109797
reordering;14;57617649980
reordering;15;15054224430
reordering;16;22540068736
reordering;17;22226566587
